id,source,service,action,description,credential_exposure,data_access,privilege_escalation,resource_exposure,expert_notes,confidence_level,labeling_date,label_quality
55,aws,AWS Private Certificate Authority,acm-pca:createpermission,grants permission create permission aws private ca,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
273,aws,AWS Private Certificate Authority,acm-pca:deletepermission,grants permission delete permission aws private ca,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
303,aws,AWS Private Certificate Authority,acm-pca:deletepolicy,grants permission delete policy aws private ca,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
108,aws,AWS Private Certificate Authority,acm-pca:putpolicy,grants permission put policy aws private ca,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
413,aws,Amazon OpenSearch Serverless,aoss:apiaccessall,grant permission supported opensearch apis,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
441,aws,Amazon OpenSearch Serverless,aoss:dashboardsaccessall,grants permission opensearch serverless dashboards,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
346,aws,Amazon API Gateway Management,apigateway:updaterestapipolicy,grants permission manage iam resource policy api additional authorization control managing api due sensitive nature resource policy,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
331,aws,AWS AppSync,appsync:getdatasource,grants permission retrieve data source,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
422,aws,AWS AppSync,appsync:getfunction,grants permission retrieve function,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
34,aws,AWS AppSync,appsync:listapikeys,grants permission list api keys given api,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
408,aws,Amazon Athena,athena:getqueryexecution,grants permission get information specified query execution,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
439,aws,Amazon Athena,athena:getqueryresults,grants permission get query results,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
42,aws,Amazon Athena,athena:getqueryresultsstream,grants permission get query results stream,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
410,aws,Amazon Athena,athena:getsession,grants permission get session,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
204,aws,AWS Backup,backup:deletebackupvaultaccesspolicy,grants permission delete backup vault access policy,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
9,aws,AWS Backup,backup:putbackupvaultaccesspolicy,grants permission add access policy backup vault,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
91,aws,Amazon Keyspaces (for Apache Cassandra),cassandra:select,grants permission select data table,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
122,aws,AWS Chatbot,chatbot:describeslackchannels,grants permission list public slack channels slack workspace connected aws account onboarded aws chatbot service,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
447,aws,AWS Chatbot,chatbot:describeslackuseridentities,grants permission describe aws chatbot slack user identities,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
248,aws,AWS Chatbot,chatbot:getmicrosoftteamsoauthparameters,grants permission generate oauth parameters request microsoft teams oauth code used aws chatbot service,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
145,aws,AWS Chatbot,chatbot:getslackoauthparameters,grants permission generate oauth parameters request slack oauth code used aws chatbot service,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
214,aws,AWS Chatbot,chatbot:listmicrosoftteamsconfiguredteams,grants permission list microsoft teams connected aws account onboarded aws chatbot service,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
148,aws,AWS Chatbot,chatbot:listmicrosoftteamsuseridentities,grants permission describe aws chatbot microsoft teams user identities,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
342,aws,Amazon Chime,chime:createapikey,grants permission create new scim access key amazon chime account okta configuration,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
211,aws,Amazon Chime,chime:deletevoiceconnectorterminationcredentials,grants permission delete sip termination credentials specified amazon chime voice connector,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
353,aws,Amazon Chime,chime:getattendee,grants permission get attendee details specified meeting id attendee id,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
368,aws,Amazon Chime,chime:getchannelmessage,grants permission get full details channel message,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
45,aws,Amazon Chime,chime:getmeeting,grants permission get meeting record specified meeting id,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
375,aws,Amazon Chime,chime:getmeetingdetail,grants permission get attendee connection details meeting,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
316,aws,Amazon Chime,chime:getroom,grants permission retrieve room,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
129,aws,Amazon Chime,chime:getuser,grants permission get details specified user id,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
175,aws,Amazon Chime,chime:getuseractivityreportdata,grants permission get summary user activity user details page,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
46,aws,Amazon Chime,chime:getuserbyemail,grants permission get user details amazon chime user based email address amazon chime enterprise team account,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
251,aws,Amazon Chime,chime:getusersettings,grants permission get user settings related specified amazon chime user,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
29,aws,Amazon Chime,chime:listattendees,grants permission list attendees specified amazon chime sdk meeting,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
479,aws,Amazon Chime,chime:listmeetingevents,grants permission list events occurred specified meeting,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
71,aws,Amazon Chime,chime:listmeetings,grants permission list active amazon chime sdk meetings,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
30,aws,Amazon Chime,chime:listusers,grants permission list users belong specified amazon chime account,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
362,aws,Amazon Chime,chime:putvoiceconnectorterminationcredentials,grants permission add sip termination credentials specified amazon chime voice connector,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
193,aws,AWS Clean Rooms,cleanrooms:getprotectedquery,grants permission view protected query,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
139,aws,AWS Cloud9,cloud9:createenvironmentssh,grants permission create aws cloud ssh development environment,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
218,aws,AWS Cloud9,cloud9:createenvironmenttoken,grants permission create authentication token allows connection aws cloud ide user environment,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
83,aws,AWS CloudFormation & Cloud Control API,cloudformation:gettemplate,grants permission return template body specified stack,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
180,aws,AWS CloudFormation & Cloud Control API,cloudformation:setstackpolicy,grants permission set stack policy specified stack,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
72,aws,Amazon CloudFront,cloudfront:getfunction,grants permission get cloudfront function code,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
299,aws,Amazon CloudSearch,cloudsearch:updateserviceaccesspolicies,configures access rules control access domain document search endpoints,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
28,aws,AWS CloudTrail,cloudtrail:getqueryresults,grants permission fetch results complete query,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
33,aws,AWS CloudTrail,cloudtrail:lookupevents,grants permission look retrieve metric data api activity events captured cloudtrail create update delete resources account,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
293,aws,AWS CodeArtifact,codeartifact:deletedomainpermissionspolicy,grants permission delete resource policy set domain,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
100,aws,AWS CodeArtifact,codeartifact:deleterepositorypermissionspolicy,grants permission delete resource policy set repository,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
156,aws,AWS CodeArtifact,codeartifact:getauthorizationtoken,grants permission generate temporary authentication token accessing repositories domain,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
75,aws,AWS CodeArtifact,codeartifact:getpackageversionasset,grants permission return asset file part package version,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
414,aws,AWS CodeArtifact,codeartifact:getpackageversionreadme,grants permission return package version readme file,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
231,aws,AWS CodeArtifact,codeartifact:readfromrepository,grants permission return package assets metadata repository endpoint,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
67,aws,AWS CodeBuild,codebuild:batchgetreportgroups,grants permission return array reportgroup objects specified input reportgrouparns parameter,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
188,aws,AWS CodeBuild,codebuild:batchgetreports,grants permission return array report objects specified input reportarns parameter,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
450,aws,AWS CodeBuild,codebuild:deleteresourcepolicy,grants permission delete resource policy associated project report group,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
388,aws,AWS CodeBuild,codebuild:deletesourcecredentials,grants permission delete set github github enterprise bitbucket source credentials,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
69,aws,AWS CodeBuild,codebuild:importsourcecredentials,grants permission import source repository credentials aws codebuild project source code stored github github enterprise bitbucket repository,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
179,aws,AWS CodeBuild,codebuild:putresourcepolicy,grants permission create resource policy associated project report group,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
16,aws,AWS CodeCommit,codecommit:batchgetcommits,grants permission return information one commits aws codecommit repository,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
318,aws,AWS CodeCommit,codecommit:batchgetpullrequests,grants permission return information one pull requests aws codecommit repository,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
64,aws,AWS CodeCommit,codecommit:batchgetrepositories,grants permission get information multiple repositories,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
470,aws,AWS CodeCommit,codecommit:describemergeconflicts,grants permission get information specific merge conflicts attempting merge two commits using either three way squash merge option,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
428,aws,AWS CodeCommit,codecommit:describepullrequestevents,grants permission return information one pull request events,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
243,aws,AWS CodeCommit,codecommit:getapprovalruletemplate,grants permission return information approval rule template,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
19,aws,AWS CodeCommit,codecommit:getblob,grants permission view encoded content individual file aws codecommit repository aws codecommit console,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
419,aws,AWS CodeCommit,codecommit:getbranch,grants permission get details branch aws codecommit repository api control git branch actions,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
249,aws,AWS CodeCommit,codecommit:getcomment,grants permission get content comment made change file commit repository,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
65,aws,AWS CodeCommit,codecommit:getcommentreactions,grants permission get reactions comment,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
132,aws,AWS CodeCommit,codecommit:getcommentsforcomparedcommit,grants permission get information comments made comparison two commits,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
330,aws,AWS CodeCommit,codecommit:getcommentsforpullrequest,grants permission get comments made pull request,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
255,aws,AWS CodeCommit,codecommit:getcommit,grants permission return information commit including commit message committer information api control git log actions,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
259,aws,AWS CodeCommit,codecommit:getcommithistory,grants permission get information history commits repository,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
350,aws,AWS CodeCommit,codecommit:getcommitsfrommergebase,grants permission get information difference commits context potential merge,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
468,aws,AWS CodeCommit,codecommit:getdifferences,grants permission view information differences valid commit specifiers branch tag head commit id fully qualified reference,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
345,aws,AWS CodeCommit,codecommit:getfile,grants permission return base encoded contents specified file metadata,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
58,aws,AWS CodeCommit,codecommit:getfolder,grants permission return contents specified folder repository,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
484,aws,AWS CodeCommit,codecommit:getmergecommit,grants permission get information merge commit created one merge options pull requests creates merge commits merge options create merge commits permission control git merge actions,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
230,aws,AWS CodeCommit,codecommit:getmergeconflicts,grants permission get information merge conflicts commit ids pull request repository,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
36,aws,AWS CodeCommit,codecommit:getmergeoptions,grants permission get information merge options pull requests used merge two commits control git merge actions,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
407,aws,AWS CodeCommit,codecommit:getobjectidentifier,grants permission resolve blobs trees commits identifier,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
480,aws,AWS CodeCommit,codecommit:getpullrequest,grants permission get information pull request specified repository,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
309,aws,AWS CodeCommit,codecommit:getpullrequestapprovalstates,grants permission retrieve current approvals inputted pull request,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
158,aws,AWS CodeCommit,codecommit:getpullrequestoverridestate,grants permission retrieve current override state given pull request,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
181,aws,AWS CodeCommit,codecommit:getreferences,grants permission get details references aws codecommit repository control git reference actions,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
149,aws,AWS CodeCommit,codecommit:gettree,grants permission view contents specified tree aws codecommit repository aws codecommit console,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
215,aws,AWS CodeCommit,codecommit:gitpull,grants permission pull information aws codecommit repository local repo,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
286,aws,Amazon CodeGuru Profiler,codeguru-profiler:getrecommendations,grants permission get recommendations,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
257,aws,Amazon CodeGuru Profiler,codeguru-profiler:putpermission,grants permission update list principals allowed action group resource policy associated specified profiling group,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
332,aws,Amazon CodeGuru Profiler,codeguru-profiler:removepermission,grants permission remove permission specified action group resource policy associated specified profiling group,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
117,aws,Amazon CodeGuru Reviewer,codeguru-reviewer:describecodereview,grants permission describe code review,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
163,aws,Amazon CodeGuru Reviewer,codeguru-reviewer:describerecommendationfeedback,grants permission describe recommendation feedback code review,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
300,aws,AWS CodePipeline,codepipeline:getpipelineexecution,grants permission view information execution pipeline including details artifacts pipeline execution id name version status pipeline,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
372,aws,AWS CodePipeline,codepipeline:pollforjobs,grants permission view information jobs codepipeline act,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
195,aws,AWS CodeStar,codestar:associateteammember,grants permission add user team aws codestar project,0,0,1,1,,1,2024-11-15 09:02:57.457093,low
358,aws,AWS CodeStar,codestar:createproject,grants permission create project minimal structure customer policies resources,0,0,1,1,,1,2024-11-15 09:02:57.457093,low
425,aws,AWS CodeStar,codestar:deleteproject,grants permission delete project including project resources delete users associated project delete iam roles allowed access project,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
319,aws,AWS CodeStar,codestar:disassociateteammember,grants permission remove user project removing user project also removes iam policies user allowed access project resources,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
438,aws,AWS CodeStar,codestar:updateteammember,grants permission update team member attributes within codestar project,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
241,aws,Amazon Cognito Identity,cognito-identity:createidentitypool,grants permission create new identity pool,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
191,aws,Amazon Cognito Identity,cognito-identity:deleteidentities,grants permission delete identities identity pool specify list identities want delete,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
264,aws,Amazon Cognito Identity,cognito-identity:deleteidentitypool,grants permission delete user pool pool deleted users able authenticate pool,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
10,aws,Amazon Cognito Identity,cognito-identity:getcredentialsforidentity,grants permission return credentials provided identity id,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
240,aws,Amazon Cognito Identity,cognito-identity:getid,grants permission generate retrieve cognito id supplying multiple logins create implicit linked account,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
228,aws,Amazon Cognito Identity,cognito-identity:getopenidtoken,grants permission get openid token using known cognito id,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
35,aws,Amazon Cognito Identity,cognito-identity:getopenidtokenfordeveloperidentity,grants permission register retrieve cognito identityid openid connect token user authenticated backend authentication process,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
140,aws,Amazon Cognito Identity,cognito-identity:lookupdeveloperidentity,grants permission retrieve identityid associated developeruseridentifier list developeruseridentifiers associated identityid existing identity,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
20,aws,Amazon Cognito Identity,cognito-identity:mergedeveloperidentities,grants permission merge two users different identityids existing identity pool identified developer provider,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
184,aws,Amazon Cognito Identity,cognito-identity:setidentitypoolroles,grants permission set roles identity pool roles used making calls getcredentialsforidentity action,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
136,aws,Amazon Cognito Identity,cognito-identity:unlinkdeveloperidentity,grants permission unlink developeruseridentifier existing identity,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
393,aws,Amazon Cognito Identity,cognito-identity:unlinkidentity,grants permission unlink federated identity existing account,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
451,aws,Amazon Cognito Identity,cognito-identity:updateidentitypool,grants permission update identity pool,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
37,aws,Amazon Cognito User Pools,cognito-idp:admingetdevice,grants permission get information user devices,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
162,aws,Amazon Cognito User Pools,cognito-idp:admingetuser,grants permission look user user name,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
197,aws,Amazon Cognito User Pools,cognito-idp:adminlistdevices,grants permission list user remembered devices,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
301,aws,Amazon Cognito User Pools,cognito-idp:adminlistgroupsforuser,grants permission list groups user belongs,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
475,aws,Amazon Cognito User Pools,cognito-idp:adminlistuserauthevents,grants permission lists sign events user,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
322,aws,Amazon Cognito User Pools,cognito-idp:describeuserpoolclient,grants permission describe user pool app client,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
261,aws,Amazon Cognito User Pools,cognito-idp:getdevice,grants permission get device,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
253,aws,Amazon Cognito User Pools,cognito-idp:getgroup,grants permission describe user pool group,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
47,aws,Amazon Cognito User Pools,cognito-idp:getuser,grants permission get user attributes metadata user,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
426,aws,Amazon Cognito User Pools,cognito-idp:getuserattributeverificationcode,grants permission get user attribute verification code specified attribute name,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
96,aws,Amazon Cognito User Pools,cognito-idp:listdevices,grants permission list devices,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
306,aws,Amazon Cognito User Pools,cognito-idp:listgroups,grants permission list groups user pools,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
271,aws,Amazon Cognito User Pools,cognito-idp:listusers,grants permission list user pool users,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
370,aws,Amazon Cognito Sync,cognito-sync:listrecords,grants permission get paginated records optionally changed particular sync count dataset identity,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
276,aws,Amazon Cognito Sync,cognito-sync:queryrecords,grants permission query records,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
377,aws,Amazon Connect,connect:getfederationtoken,grants permission federate amazon connect instance using saml based authentication identity management,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
85,aws,Amazon Connect,connect:listsecuritykeys,grants permission view security keys existing amazon connect instance,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
465,aws,Amazon Connect,connect:listusers,grants permission list user resources amazon connect instance,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
40,aws,AWS Data Pipeline,datapipeline:queryobjects,grants permission query specified pipeline names objects match specified set conditions,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
124,aws,Amazon DynamoDB Accelerator (DAX),dax:batchgetitem,grants permission return attributes one items one tables,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
312,aws,Amazon DynamoDB Accelerator (DAX),dax:getitem,grants permission getitem operation returns set attributes item given primary key,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
434,aws,Amazon DynamoDB Accelerator (DAX),dax:query,grants permission use primary key table secondary index directly access items table index,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
369,aws,Amazon DynamoDB Accelerator (DAX),dax:scan,grants permission return one items item attributes accessing every item table secondary index,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
137,aws,AWS DeepLens,deeplens:associateserviceroletoaccount,associates user account iam roles controlling various permissions needed aws deeplens proper functionality,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
340,aws,AWS Directory Service,ds:createconditionalforwarder,grants permission create conditional forwarder associated aws directory,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
151,aws,AWS Directory Service,ds:createdirectory,grants permission create simple ad directory,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
343,aws,AWS Directory Service,ds:createmicrosoftad,grants permission create microsoft ad aws cloud,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
462,aws,AWS Directory Service,ds:createtrust,grants permission initiate creation aws side trust relationship microsoft ad aws cloud external domain,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
298,aws,AWS Directory Service,ds:sharedirectory,grants permission share specified directory aws account directory owner another aws account directory consumer operation use directory aws account amazon vpc within aws region,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
296,aws,Amazon DynamoDB,dynamodb:batchgetitem,grants permission return attributes one items one tables,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
66,aws,Amazon DynamoDB,dynamodb:getitem,grants permission getitem operation returns set attributes item given primary key,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
367,aws,Amazon DynamoDB,dynamodb:getrecords,grants permission retrieve stream records given shard,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
209,aws,Amazon DynamoDB,dynamodb:query,grants permission use primary key table secondary index directly access items table index,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
80,aws,Amazon DynamoDB,dynamodb:scan,grants permission return one items item attributes accessing every item table secondary index,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
127,aws,Amazon EC2 Instance Connect,ec2-instance-connect:sendsshpublickey,grants permission push ssh public key specified ec instance used standard ssh,1,0,1,0,,1,2024-11-15 09:02:57.457093,low
406,aws,Amazon EC2,ec2:createnetworkinterfacepermission,grants permission create permission aws authorized user perform certain operations network interface,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
363,aws,Amazon EC2,ec2:deletenetworkinterfacepermission,grants permission delete permission associated network interface,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
76,aws,Amazon EC2,ec2:disableimageblockpublicaccess,grants permission disable block public access amis account level specified aws region,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
142,aws,Amazon EC2,ec2:getpassworddata,grants permission retrieve encrypted administrator password running windows instance,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
57,aws,Amazon EC2,ec2:modifysnapshotattribute,grants permission add remove permission settings snapshot,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
417,aws,Amazon EC2,ec2:modifyvpcendpointservicepermissions,grants permission modify permissions vpc endpoint service,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
424,aws,Amazon EC2,ec2:resetsnapshotattribute,grants permission reset permission settings snapshot,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
44,aws,Amazon Elastic Container Registry Public,ecr-public:getauthorizationtoken,grants permission retrieve token valid specified registry hours,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
258,aws,Amazon Elastic Container Registry,ecr:deleterepositorypolicy,grants permission delete repository policy specified repository,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
88,aws,Amazon Elastic Container Registry,ecr:getauthorizationtoken,grants permission retrieve token valid specified registry hours,1,0,0,0,,1,2024-11-15 09:02:57.457093,low
173,aws,Amazon Elastic Container Registry,ecr:getdownloadurlforlayer,grants permission retrieve download url corresponding image layer,0,1,0,0,,1,2024-11-15 09:02:57.457093,low
206,aws,Amazon Elastic Container Registry,ecr:setrepositorypolicy,grants permission apply repository policy specified repository control access permissions,0,0,0,1,,1,2024-11-15 09:02:57.457093,low
